Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3-5 Batch number maintain,Chrome 74.0.3729.169,,2019-06-03 14:24:10,2019-06-03 14:24:26,16.021s,FAILED
,,,,,,
Test Cases/Others/Login,Chrome 74.0.3729.169,Login process in PSI,2019-06-03 14:24:10,2019-06-03 14:24:19,9.102s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-06-03 14:24:10,2019-06-03 14:24:13,3.143s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 74.0.3729.169,,2019-06-03 14:24:13,2019-06-03 14:24:17,3.620s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-03 14:24:17,2019-06-03 14:24:18,1.155s,PASSED
"setText(findTestObject(""Others/Login/ID-QWE""), ""QWE"")",Chrome 74.0.3729.169,,2019-06-03 14:24:18,2019-06-03 14:24:18,0.151s,PASSED
"setEncryptedText(findTestObject(""Others/Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 74.0.3729.169,,2019-06-03 14:24:18,2019-06-03 14:24:18,0.138s,PASSED
"click(findTestObject(""Others/Login/Login Button""))",Chrome 74.0.3729.169,,2019-06-03 14:24:18,2019-06-03 14:24:18,0.079s,PASSED
"verifyElementClickable(findTestObject(""Others/Login/Verify button""))",Chrome 74.0.3729.169,,2019-06-03 14:24:18,2019-06-03 14:24:19,0.584s,PASSED
,,,,,,
Test Cases/3 Stock/3-5 Batch number maintain/3-5 Batch number maintain-Add,Chrome 74.0.3729.169,,2019-06-03 14:24:19,2019-06-03 14:24:21,1.982s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain button""))",Chrome 74.0.3729.169,,2019-06-03 14:24:19,2019-06-03 14:24:19,0.081s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain add button""))",Chrome 74.0.3729.169,,2019-06-03 14:24:19,2019-06-03 14:24:19,0.129s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item button""))",Chrome 74.0.3729.169,,2019-06-03 14:24:19,2019-06-03 14:24:19,0.073s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item select""))",Chrome 74.0.3729.169,,2019-06-03 14:24:19,2019-06-03 14:24:20,0.611s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item life day""), ""30"")",Chrome 74.0.3729.169,,2019-06-03 14:24:20,2019-06-03 14:24:20,0.096s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/item batch code""), time())",Chrome 74.0.3729.169,,2019-06-03 14:24:20,2019-06-03 14:24:20,0.002s,PASSED
date = new java.util.Date(),Chrome 74.0.3729.169,,2019-06-03 14:24:20,2019-06-03 14:24:20,0.004s,PASSED
sdf = new java.text.SimpleDateFormat(yyyyMMddHHmm),Chrome 74.0.3729.169,,2019-06-03 14:24:20,2019-06-03 14:24:20,0.007s,PASSED
