Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Stock Take Suite,Chrome 73.0.3683.86,,2019-04-18 01:45:26,2019-04-18 01:46:16,50.101s,FAILED
,,,,,,
Test Cases/Login,Chrome 73.0.3683.86,Login process in PSI,2019-04-18 01:45:27,2019-04-18 01:45:37,10.453s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-18 01:45:28,2019-04-18 01:45:33,4.990s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 73.0.3683.86,,2019-04-18 01:45:33,2019-04-18 01:45:35,2.105s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-18 01:45:35,2019-04-18 01:45:36,1.168s,PASSED
"setText(findTestObject(""Login/ID-QWE""), ""QWE"")",Chrome 73.0.3683.86,,2019-04-18 01:45:36,2019-04-18 01:45:36,0.297s,PASSED
"setEncryptedText(findTestObject(""Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 73.0.3683.86,,2019-04-18 01:45:36,2019-04-18 01:45:36,0.333s,PASSED
"click(findTestObject(""Login/Login Button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:36,2019-04-18 01:45:37,0.180s,PASSED
"verifyElementClickable(findTestObject(""Login/Verify button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:37,2019-04-18 01:45:37,0.619s,PASSED
,,,,,,
Test Cases/Stock Take-Add,Chrome 73.0.3683.86,,2019-04-18 01:45:37,2019-04-18 01:46:14,36.954s,FAILED
"click(findTestObject(""Object Repository/Stock take/Stock take button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:38,2019-04-18 01:45:38,0.221s,PASSED
"click(findTestObject(""Object Repository/Stock take/Add button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:38,2019-04-18 01:45:38,0.389s,PASSED
"click(findTestObject(""Stock take/Stock take date""))",Chrome 73.0.3683.86,,2019-04-18 01:45:38,2019-04-18 01:45:39,0.409s,PASSED
"click(findTestObject(""Stock take/Date 18""))",Chrome 73.0.3683.86,,2019-04-18 01:45:39,2019-04-18 01:45:39,0.186s,PASSED
"click(findTestObject(""Stock take/Employee button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:39,2019-04-18 01:45:39,0.236s,PASSED
"click(findTestObject(""Object Repository/Stock take/Employee Larry""))",Chrome 73.0.3683.86,,2019-04-18 01:45:39,2019-04-18 01:45:40,0.787s,PASSED
"click(findTestObject(""Stock take/Warehouse button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:40,2019-04-18 01:45:40,0.177s,PASSED
"click(findTestObject(""Object Repository/Stock take/Warehouse 111""))",Chrome 73.0.3683.86,,2019-04-18 01:45:40,2019-04-18 01:45:41,0.735s,PASSED
"click(findTestObject(""Stock take/Class button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:41,2019-04-18 01:45:41,0.290s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class IPAD""))",Chrome 73.0.3683.86,,2019-04-18 01:45:41,2019-04-18 01:45:42,0.722s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class ok button""))",Chrome 73.0.3683.86,,2019-04-18 01:45:42,2019-04-18 01:45:42,0.126s,PASSED
"setText(findTestObject(""Object Repository/Stock take/Note""), ""Testing"")",Chrome 73.0.3683.86,,2019-04-18 01:45:42,2019-04-18 01:45:42,0.400s,PASSED
"setText(findTestObject(""Stock take/Stock number""), ""600"")",Chrome 73.0.3683.86,,2019-04-18 01:45:42,2019-04-18 01:46:14,31.800s,FAILED
,,,,,,
Test Cases/Accept and verify,Chrome 73.0.3683.86,,2019-04-18 01:46:14,2019-04-18 01:46:16,1.418s,FAILED
acceptAlert(),Chrome 73.0.3683.86,,2019-04-18 01:46:15,2019-04-18 01:46:16,1.086s,FAILED
