Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3-5 Batch number maintain,Chrome 74.0.3729.169,,2019-06-03 13:37:28,2019-06-03 13:37:47,18.850s,PASSED
,,,,,,
Test Cases/Others/Login,Chrome 74.0.3729.169,Login process in PSI,2019-06-03 13:37:28,2019-06-03 13:37:41,12.723s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-06-03 13:37:28,2019-06-03 13:37:31,2.962s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 74.0.3729.169,,2019-06-03 13:37:31,2019-06-03 13:37:39,7.475s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-03 13:37:39,2019-06-03 13:37:40,1.153s,PASSED
"setText(findTestObject(""Others/Login/ID-QWE""), ""QWE"")",Chrome 74.0.3729.169,,2019-06-03 13:37:40,2019-06-03 13:37:40,0.157s,PASSED
"setEncryptedText(findTestObject(""Others/Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 74.0.3729.169,,2019-06-03 13:37:40,2019-06-03 13:37:40,0.129s,PASSED
"click(findTestObject(""Others/Login/Login Button""))",Chrome 74.0.3729.169,,2019-06-03 13:37:40,2019-06-03 13:37:40,0.062s,PASSED
"verifyElementClickable(findTestObject(""Others/Login/Verify button""))",Chrome 74.0.3729.169,,2019-06-03 13:37:40,2019-06-03 13:37:41,0.563s,PASSED
,,,,,,
Test Cases/3 Stock/3-5 Batch number maintain/3-5 Batch number maintain-Add,Chrome 74.0.3729.169,,2019-06-03 13:37:41,2019-06-03 13:37:43,2.002s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain button""))",Chrome 74.0.3729.169,,2019-06-03 13:37:41,2019-06-03 13:37:41,0.083s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Batch maintain add button""))",Chrome 74.0.3729.169,,2019-06-03 13:37:41,2019-06-03 13:37:41,0.128s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item button""))",Chrome 74.0.3729.169,,2019-06-03 13:37:41,2019-06-03 13:37:41,0.067s,PASSED
"click(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item select""))",Chrome 74.0.3729.169,,2019-06-03 13:37:41,2019-06-03 13:37:42,0.593s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-add/Item life day""), ""30"")",Chrome 74.0.3729.169,,2019-06-03 13:37:42,2019-06-03 13:37:42,0.097s,PASSED
