Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Stock Take Suite,Chrome 73.0.3683.86,,2019-04-18 01:26:06,2019-04-18 01:26:56,49.444s,FAILED
,,,,,,
Test Cases/Login,Chrome 73.0.3683.86,Login process in PSI,2019-04-18 01:26:07,2019-04-18 01:26:17,10.143s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-18 01:26:08,2019-04-18 01:26:12,4.524s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 73.0.3683.86,,2019-04-18 01:26:12,2019-04-18 01:26:14,2.048s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-18 01:26:14,2019-04-18 01:26:15,1.174s,PASSED
"setText(findTestObject(""Login/ID-QWE""), ""QWE"")",Chrome 73.0.3683.86,,2019-04-18 01:26:15,2019-04-18 01:26:16,0.325s,PASSED
"setEncryptedText(findTestObject(""Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 73.0.3683.86,,2019-04-18 01:26:16,2019-04-18 01:26:16,0.373s,PASSED
"click(findTestObject(""Login/Login Button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:16,2019-04-18 01:26:16,0.190s,PASSED
"verifyElementClickable(findTestObject(""Login/Verify button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:16,2019-04-18 01:26:17,0.797s,PASSED
,,,,,,
Test Cases/Stock Take-Add,Chrome 73.0.3683.86,,2019-04-18 01:26:17,2019-04-18 01:26:54,36.598s,FAILED
"click(findTestObject(""Object Repository/Stock take/Stock take button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:18,2019-04-18 01:26:18,0.213s,PASSED
"click(findTestObject(""Object Repository/Stock take/Add button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:18,2019-04-18 01:26:18,0.389s,PASSED
"click(findTestObject(""Stock take/Stock take date""))",Chrome 73.0.3683.86,,2019-04-18 01:26:18,2019-04-18 01:26:19,0.388s,PASSED
"click(findTestObject(""Stock take/Date 18""))",Chrome 73.0.3683.86,,2019-04-18 01:26:19,2019-04-18 01:26:19,0.150s,PASSED
"click(findTestObject(""Stock take/Employee button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:19,2019-04-18 01:26:19,0.251s,PASSED
"click(findTestObject(""Object Repository/Stock take/Employee Larry""))",Chrome 73.0.3683.86,,2019-04-18 01:26:19,2019-04-18 01:26:20,0.775s,PASSED
"click(findTestObject(""Stock take/Warehouse button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:20,2019-04-18 01:26:20,0.200s,PASSED
"click(findTestObject(""Object Repository/Stock take/Warehouse 111""))",Chrome 73.0.3683.86,,2019-04-18 01:26:20,2019-04-18 01:26:21,0.727s,PASSED
"click(findTestObject(""Stock take/Class button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:21,2019-04-18 01:26:21,0.252s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class IPAD""))",Chrome 73.0.3683.86,,2019-04-18 01:26:21,2019-04-18 01:26:22,0.680s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class ok button""))",Chrome 73.0.3683.86,,2019-04-18 01:26:22,2019-04-18 01:26:22,0.127s,PASSED
"setText(findTestObject(""Object Repository/Stock take/Note""), ""Testing"")",Chrome 73.0.3683.86,,2019-04-18 01:26:22,2019-04-18 01:26:22,0.373s,PASSED
"setText(findTestObject(""Stock take/Stock number""), ""600"")",Chrome 73.0.3683.86,,2019-04-18 01:26:22,2019-04-18 01:26:54,31.570s,FAILED
,,,,,,
Test Cases/Accept and verify,Chrome 73.0.3683.86,,2019-04-18 01:26:54,2019-04-18 01:26:55,1.412s,FAILED
acceptAlert(),Chrome 73.0.3683.86,,2019-04-18 01:26:54,2019-04-18 01:26:55,1.117s,FAILED
