Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Stock Take Suite,Chrome 73.0.3683.86,,2019-04-18 01:20:50,2019-04-18 01:21:09,19.054s,FAILED
,,,,,,
Test Cases/Login,Chrome 73.0.3683.86,Login process in PSI,2019-04-18 01:20:51,2019-04-18 01:21:01,10.681s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-18 01:20:51,2019-04-18 01:20:56,4.868s,PASSED
"navigateToUrl(""https://psi-azcldap.unicore.com.tw/login"")",Chrome 73.0.3683.86,,2019-04-18 01:20:56,2019-04-18 01:20:58,2.144s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-18 01:20:58,2019-04-18 01:21:00,1.157s,PASSED
"setText(findTestObject(""Login/ID-QWE""), ""QWE"")",Chrome 73.0.3683.86,,2019-04-18 01:21:00,2019-04-18 01:21:00,0.352s,PASSED
"setEncryptedText(findTestObject(""Login/PW-QWE""), ""5opu+sh6ATw="")",Chrome 73.0.3683.86,,2019-04-18 01:21:00,2019-04-18 01:21:00,0.395s,PASSED
"click(findTestObject(""Login/Login Button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:00,2019-04-18 01:21:01,0.184s,PASSED
"verifyElementClickable(findTestObject(""Login/Verify button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:01,2019-04-18 01:21:01,0.836s,PASSED
,,,,,,
Test Cases/Stock Take-Add,Chrome 73.0.3683.86,,2019-04-18 01:21:01,2019-04-18 01:21:07,5.671s,FAILED
"click(findTestObject(""Object Repository/Stock take/Stock take button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:02,2019-04-18 01:21:02,0.195s,PASSED
"click(findTestObject(""Object Repository/Stock take/Add button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:02,2019-04-18 01:21:02,0.396s,PASSED
"click(findTestObject(""Stock take/Stock take date""))",Chrome 73.0.3683.86,,2019-04-18 01:21:02,2019-04-18 01:21:03,0.373s,PASSED
"click(findTestObject(""Stock take/Date 18""))",Chrome 73.0.3683.86,,2019-04-18 01:21:03,2019-04-18 01:21:03,0.146s,PASSED
"click(findTestObject(""Stock take/Employee button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:03,2019-04-18 01:21:03,0.239s,PASSED
"click(findTestObject(""Object Repository/Stock take/Employee Larry""))",Chrome 73.0.3683.86,,2019-04-18 01:21:03,2019-04-18 01:21:04,0.775s,PASSED
"click(findTestObject(""Stock take/Warehouse button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:04,2019-04-18 01:21:04,0.180s,PASSED
"click(findTestObject(""Object Repository/Stock take/Warehouse 111""))",Chrome 73.0.3683.86,,2019-04-18 01:21:04,2019-04-18 01:21:05,0.714s,PASSED
"click(findTestObject(""Stock take/Class button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:05,2019-04-18 01:21:05,0.265s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class IPAD""))",Chrome 73.0.3683.86,,2019-04-18 01:21:05,2019-04-18 01:21:06,0.666s,PASSED
"click(findTestObject(""Object Repository/Stock take/Class ok button""))",Chrome 73.0.3683.86,,2019-04-18 01:21:06,2019-04-18 01:21:06,0.127s,PASSED
"setText(findTestObject(""Object Repository/Stock take/Note""), ""Testing"")",Chrome 73.0.3683.86,,2019-04-18 01:21:06,2019-04-18 01:21:06,0.384s,PASSED
"setText(findTestObject(""Stock take/input__form-control form-control-sm ng-untouched ng-pristine ng-valid""), ""600"")",Chrome 73.0.3683.86,,2019-04-18 01:21:06,2019-04-18 01:21:07,0.757s,FAILED
,,,,,,
Test Cases/Accept and verify,Chrome 73.0.3683.86,,2019-04-18 01:21:07,2019-04-18 01:21:09,1.466s,FAILED
acceptAlert(),Chrome 73.0.3683.86,,2019-04-18 01:21:07,2019-04-18 01:21:09,1.120s,FAILED
